can cell phones be hacked..read!,http://800notes.com/forum/ta-820cbafe8a07b02/can-cell-phones-be-hacked-read, 25 , 1 h 17 min ago by Memememe , Everything else
"Caller ID shows ""V""+ a whole bunch of digits",http://800notes.com/forum/ta-3f0852449bac17d/caller-id-shows-v-a-whole-bunch-of-digits, 286 , 1 h 14 min ago by Resident47 , Telemarketing calls
Blow a whistle in their ear,http://800notes.com/forum/ta-54250432b186492/blow-a-whistle-in-their-ear, 614 , 1 h 56 min ago by Mary , Telemarketing calls
"""  440 ""   AREA  CODE  FRAUD AND  SCAM  CALLS",http://800notes.com/forum/ta-5616c3b5742bbaf/440-area-code-fraud-and-scam-calls, 44 , 2 h 33 min ago by Resident47 , Phishing and scam calls
"Caller ID says ""Restricted""",http://800notes.com/forum/ta-9548dc7d0dfd54c/caller-id-says-restricted, 25 , 4 h 11 min ago by chainsaw , Everything else
‘Can you hear me?' Don't answer that!,http://800notes.com/forum/ta-10066d0c59effa44/can-you-hear-me-'-don't-answer-that, 57 , 4 h 39 min ago by Ex Regular , Phishing and scam calls
Yellow Pages Scammers order to pay back $10 million,http://800notes.com/forum/ta-6b01aec8c39bf6b/yellow-pages-scammers-order-to-pay-back-10-million, 13 , 4 h 43 min ago by BigA , Phishing and scam calls
Dish Network Scam.,http://800notes.com/forum/ta-926f0fee3d4495e/dish-network-scam, 14 , 16 h 27 min ago by Tygerkat , Phishing and scam calls
Keep getting home improvement scam calls. Decided to have a little fun with one of them.,http://800notes.com/forum/ta-5dcb3844f10b523/keep-getting-home-improvement-scam-calls-decided-to-have-a-little-fun-with-one-of-them, 36 , 19 h 21 min ago by TheRealSeriously® , Telemarketing calls
Fake payday loan collection scams - Please list new numbers here [2],http://800notes.com/forum/ta-429fb24ec2162e3/fake-payday-loan-collection-scams-please-list-new-numbers-here-2, 3459 , 21 h 24 min ago by Resident47 , Debt collection calls
""" 909""  area  code  fraud  scams / fake  calls and  texts",http://800notes.com/forum/ta-563248ceddbd631/909-area-code-fraud-scams-fake-calls-and-texts, 631 , 22 h 8 min ago by jackie aragon , Phishing and scam calls
Forward Movement Recovery,http://800notes.com/forum/ta-be660b78e831623/forward-movement-recovery, 324 , 22 h 15 min ago by caro , Debt collection calls
